,Market 2 Price [£/MWh]
01/01/2018 00:00,51.89
01/01/2018 01:00,55.49
01/01/2018 02:00,51.06
01/01/2018 03:00,44.76
01/01/2018 04:00,40.07
01/01/2018 05:00,44.42
01/01/2018 06:00,50.295
01/01/2018 07:00,52.145
01/01/2018 08:00,48.33
01/01/2018 09:00,44.595
01/01/2018 10:00,44.37
01/01/2018 11:00,55.65
01/01/2018 12:00,58.15
01/01/2018 13:00,56.145
01/01/2018 14:00,55.825
01/01/2018 15:00,69.53
01/01/2018 16:00,73.215
01/01/2018 17:00,71.47
01/01/2018 18:00,63.445
01/01/2018 19:00,53.81
01/01/2018 20:00,57.775
01/01/2018 21:00,52.83
01/01/2018 22:00,52.26
01/01/2018 23:00,44.18
02/01/2018 00:00,45.365
02/01/2018 01:00,42.74
02/01/2018 02:00,42.92
02/01/2018 03:00,46.91
02/01/2018 04:00,44.71
02/01/2018 05:00,60.505
02/01/2018 06:00,56.175
02/01/2018 07:00,47.73
02/01/2018 08:00,53.42
02/01/2018 09:00,48.985
02/01/2018 10:00,50.355
02/01/2018 11:00,49.98
02/01/2018 12:00,48.205
02/01/2018 13:00,46.725
02/01/2018 14:00,44.395
02/01/2018 15:00,62.15
02/01/2018 16:00,65.17
02/01/2018 17:00,85.9
02/01/2018 18:00,79.18
02/01/2018 19:00,65.785
02/01/2018 20:00,59.045
02/01/2018 21:00,50.485
02/01/2018 22:00,52.12
02/01/2018 23:00,49.935
03/01/2018 00:00,51.255
03/01/2018 01:00,53.595
03/01/2018 02:00,51.29
03/01/2018 03:00,52.635
03/01/2018 04:00,48.115
03/01/2018 05:00,49.785
03/01/2018 06:00,54.98
03/01/2018 07:00,57.63
03/01/2018 08:00,44.735
03/01/2018 09:00,40.24
03/01/2018 10:00,41.53
03/01/2018 11:00,42.665
03/01/2018 12:00,42.47
03/01/2018 13:00,43.01
03/01/2018 14:00,44.925
03/01/2018 15:00,58.715
03/01/2018 16:00,66.855
03/01/2018 17:00,78.32
03/01/2018 18:00,74.19
03/01/2018 19:00,59.135
03/01/2018 20:00,53.84
03/01/2018 21:00,50.285
03/01/2018 22:00,47.24
03/01/2018 23:00,45.19
04/01/2018 00:00,43.77
04/01/2018 01:00,46.18
04/01/2018 02:00,44.305
04/01/2018 03:00,48.955
04/01/2018 04:00,43.4
04/01/2018 05:00,48.485
04/01/2018 06:00,53.13
04/01/2018 07:00,49.15
04/01/2018 08:00,40.8
04/01/2018 09:00,43.345
04/01/2018 10:00,41.135
04/01/2018 11:00,40.59
04/01/2018 12:00,43.16
04/01/2018 13:00,41.85
04/01/2018 14:00,43.105
04/01/2018 15:00,51.43
04/01/2018 16:00,63.585
04/01/2018 17:00,76.97
04/01/2018 18:00,72.85
04/01/2018 19:00,61.035
04/01/2018 20:00,57.935
04/01/2018 21:00,52.825
04/01/2018 22:00,50.03
04/01/2018 23:00,45.725
05/01/2018 00:00,56.23
05/01/2018 01:00,51.56
05/01/2018 02:00,53.04
05/01/2018 03:00,50.02
05/01/2018 04:00,48.255
05/01/2018 05:00,52.48
05/01/2018 06:00,53.55
05/01/2018 07:00,47.855
05/01/2018 08:00,44.605
05/01/2018 09:00,47.84
05/01/2018 10:00,48.785
05/01/2018 11:00,45.61
05/01/2018 12:00,45.75
05/01/2018 13:00,49.61
05/01/2018 14:00,49.87
05/01/2018 15:00,68.235
05/01/2018 16:00,87.035
05/01/2018 17:00,109.25
05/01/2018 18:00,95.035
05/01/2018 19:00,65.815
05/01/2018 20:00,66.37
05/01/2018 21:00,54.16
05/01/2018 22:00,56.42
