,Market 1 Price [£/MWh]
01/01/2018 00:00,48.47
01/01/2018 00:30,49.81
01/01/2018 01:00,53.65
01/01/2018 01:30,52.48
01/01/2018 02:00,47.25
01/01/2018 02:30,47.18
01/01/2018 03:00,40.24
01/01/2018 03:30,38.56
01/01/2018 04:00,37.55
01/01/2018 04:30,36.56
01/01/2018 05:00,39.25
01/01/2018 05:30,41.23
01/01/2018 06:00,45.68
01/01/2018 06:30,44.83
01/01/2018 07:00,48.87
01/01/2018 07:30,50.73
01/01/2018 08:00,45.01
01/01/2018 08:30,48.87
01/01/2018 09:00,44.41
01/01/2018 09:30,42.59
01/01/2018 10:00,46.15
01/01/2018 10:30,46.19
01/01/2018 11:00,54.83
01/01/2018 11:30,60.57
01/01/2018 12:00,58.75
01/01/2018 12:30,59.88
01/01/2018 13:00,58.03
01/01/2018 13:30,59.72
01/01/2018 14:00,55.94
01/01/2018 14:30,52.55
01/01/2018 15:00,59.43
01/01/2018 15:30,61.01
01/01/2018 16:00,63.07
01/01/2018 16:30,64.91
01/01/2018 17:00,63.27
01/01/2018 17:30,61.55
01/01/2018 18:00,58.82
01/01/2018 18:30,55.67
01/01/2018 19:00,46.13
01/01/2018 19:30,47.03
01/01/2018 20:00,48.91
01/01/2018 20:30,45.87
01/01/2018 21:00,46.95
01/01/2018 21:30,46.71
01/01/2018 22:00,46.08
01/01/2018 22:30,45.77
01/01/2018 23:00,45.25
01/01/2018 23:30,39.33
02/01/2018 00:00,40.23
02/01/2018 00:30,40.6
02/01/2018 01:00,38.95
02/01/2018 01:30,38.8
02/01/2018 02:00,37.28
02/01/2018 02:30,37.66
02/01/2018 03:00,41.06
02/01/2018 03:30,44.07
02/01/2018 04:00,42.21
02/01/2018 04:30,43.08
02/01/2018 05:00,54.59
02/01/2018 05:30,55.53
02/01/2018 06:00,58.52
02/01/2018 06:30,48.16
02/01/2018 07:00,43.64
02/01/2018 07:30,48.24
02/01/2018 08:00,51.96
02/01/2018 08:30,53.68
02/01/2018 09:00,50.84
02/01/2018 09:30,50.46
02/01/2018 10:00,51.01
02/01/2018 10:30,51.98
02/01/2018 11:00,52.38
02/01/2018 11:30,52.59
02/01/2018 12:00,51.94
02/01/2018 12:30,50.2
02/01/2018 13:00,46.63
02/01/2018 13:30,45.63
02/01/2018 14:00,46.09
02/01/2018 14:30,45.56
02/01/2018 15:00,54.11
02/01/2018 15:30,55.46
02/01/2018 16:00,53.69
02/01/2018 16:30,64.71
02/01/2018 17:00,77.94
02/01/2018 17:30,73.13
02/01/2018 18:00,71.63
02/01/2018 18:30,65.18
02/01/2018 19:00,60.09
02/01/2018 19:30,54.67
02/01/2018 20:00,53.43
02/01/2018 20:30,49.58
02/01/2018 21:00,50.96
02/01/2018 21:30,47.73
02/01/2018 22:00,47.42
02/01/2018 22:30,47.13
02/01/2018 23:00,48.52
02/01/2018 23:30,43.08
03/01/2018 00:00,45.97
03/01/2018 00:30,47.84
03/01/2018 01:00,51.28
03/01/2018 01:30,49.45
03/01/2018 02:00,48.71
03/01/2018 02:30,49.83
03/01/2018 03:00,47.58
03/01/2018 03:30,46.51
03/01/2018 04:00,44.08
03/01/2018 04:30,44.35
03/01/2018 05:00,49.61
